77258, 0
-5712, 35773
-125175, 0
103641, 25006
-403356, -62587
300264, -51546
75703, 38126
4317, 0
-126840, 0
101761, 27470
-49871, -35316
-66699, -50881
-263678, -7404
344711, 0
-106835, -46251
91971, 33085
-89346, 1312
-30546, -45985
89595, 30837
-34686, -17343
-450486, -15273
460357, 32390
-69787, -34894
-36702, -48309
53194, 26597
12650, 0
-104141, -18351
-333973, -19148
362936, -31264
-49860, -24930
-109811, -65354
180667, 79835
-95077, -37040
74894, 25336
-58398, 8248
-403921, -37447
439792, 26184
-7314, -3657
-117023, -44233
100911, 50455
-66334, -41223
-52542, -50455
84044, 33039
-361949, -42022
258823, -35812
73218, 27068
-61379, -30689
-38792, 0
79942, 26494
-18071, -9035
-97784, -19396
-261559, -17957
288677, -35333
-54586, -27293
84404, 13559
-7111, 38647
-98225, -27293
49154, 14111
-31228, -40150
-397101, -24577
428382, 24577
-35337, -17642
-72147, -38101
80746, 40373
-55707, -27854
-59503, -36073
85165, 25350
-368144, -42582
266710, -37886
74178, 28954
-54579, -27289
-46415, 0
77717, 25450
-11358, -5679
-97758, -23207
-260346, -15700
290546, -33779
-61558, -30779
80275, 15100
4531, 40138
-105785, -30779
73777, 26399
-53344, -40411
-410968, -36888
443939, 26702
-14492, -7246
-101058, -41290
-94928, 0
124403, -35791
-57210, -28605
87378, 14737
-357705, 0
251978, -37779
75027, 28339
-63586, -31793
-22959, 0
63040, 25761
-16710, -8355
-93681, -11480
-273652, -23675
207987, -79673
33062, -16302
88072, 0
-39002, 41066
-69342, 0
76828, 28278
-59111, -29555
-389967, -34671
492889, 38414
-82552, -19371
-96173, -37901
77804, 38902
-145833, -48087
39428, -53202
85103, 28251
-371243, -62266
-106465, -123356
444047, 25721
-46424, -23212
-80280, 105439
21508, 10754
69670, 0
-90370, -39736
-270782, 0
290342, -570
-58674, -29337
92545, 9780
-18363, 37091
-94407, -29337
79947, 29861
-49115, -31787
-414476, -39974
440847, 28602
-13761, -6881
-100550, -43970
81712, 40856
-55467, -37152
-59884, -40856
95977, 31169
-363545, -47989
245003, -41224
82557, 29996
-77184, -38592
-28171, 0
84227, 30714
-17650, -8825
-93621, -14085
-273204, -13522
289451, -38687
-40389, -20195
40898, 8124
23933, 20449
-95099, -20195
72977, 21355
-64551, -31370
-377975, -36489
419723, 25087
1080, 0
-110048, -33610
77102, 38551
-49483, -40674
-47014, -38551
72360, 26482
-353014, -36180
245119, -41274
92523, 28494
-67994, -33997
-52891, 0
86534, 29086
-7949, -3975
-99085, -26445
-693285, -10250
712079, -40146
-43651, -21825
52243, 9397
10717, 26121
-91354, -21825
74086, 22846
-76854, -40319
-808188, -38427
860339, 24692
-23226, -11613
-90236, -30656
86023, 43012
-57116, -30665
-53536, -43011
74477, 24924
-340042, -37239
242232, -38434
78891, 27779
-58489, -29245
-56318, 0
102801, 33443
-26416, -13208
-96314, -28159
-258852, -9965
262971, -46097
-38359, -19180
92365, 2060
-8923, 41721
-101540, -19180
78676, 30289
-60193, -41528
-396877, -39338
430851, 26228
-15680, -7840
-88509, -35107
77275, 38637
-53180, -32207
-66414, -38637
92460, 25070
-351444, -46230
236090, -44654
60184, 18645
-32252, -16126
-48467, 0
80387, 29926
-12995, -6497
-95956, -24234
-269332, -14282
295823, -34732
-69079, -34540
91747, 13246
-521, 45613
-105031, -34540
75394, 30795
-51550, -40594
-388975, -37697
413216, 24043
-7332, -3666
-93725, -38408
82332, 41166
-55375, -33384
-59609, -41166
82366, 24857
-420476, -41183
313297, -42211
81715, 28451
-143391, -71696
33274, 16637
80456, 26027
-7865, -3932
-99372, 0
-260446, -13391
279776, -40021
-53658, -26829
88773, 9665
-6541, 41116
-109720, -26829
91120, 31816
-57286, -37943
-397441, -45560
398256, 17325
18343, 0
-100252, -40547
89691, 44845
-68674, -30446
-48573, -44845
87204, 29824
-356456, -43602
221818, -48004
